221000,berline,essence,9,automatique,rouge,407 ,15,PEUGEOT,25000.0
11000,citadine,essence,5,manuelle,blanc,RIO ,1,KIA,50900.0
132000,berline,essence,9,manuelle,blanc,CLASSE C ,7,MERCEDES-BENZ,59500.0
38000,berline,essence,7,automatique,marron,A5 ,2,AUDI,179000.0
153000,cabriolet,essence,6,manuelle,beige,COOPER S ,14,MINI,39000.0
3000,citadine,essence,5,manuelle,bleu,RIO ,1,KIA,63500.0
158000,utilitaire,diesel,9,manuelle,blanc,K2700 ,3,KIA,40000.0
104000,berline,essence,8,automatique,noir,A4 ,5,AUDI,82000.0
127000,citadine,essence,4,manuelle,noir,COOPER ,8,MINI,40500.0
250000,berline,diesel,6,manuelle,noir,C5 ,11,CITROEN,25000.0
193000,berline,diesel,6,manuelle,noir,C5 ,9,CITROEN,34900.0
146000,berline,essence,6,manuelle,gris argent,206 ,13,PEUGEOT,18500.0
114000,citadine,essence,7,manuelle,noir,COOPER ,9,MINI,36900.0
178000,berline,essence,10,automatique,noir,SERIE 3 ,12,BMW,47000.0
127000,pick up,essence,34,automatique,gris argent,ESCALADE ,17,CADILLAC,49000.0
139000,berline,essence,5,manuelle,gris argent,AVEO ,4,CHEVROLET,26000.0
265000,berline,essence,12,automatique,blanc,SERIE 5 ,11,BMW,82000.0
132000,pick up,diesel,7,manuelle,noir,AMAROK ,8,VOLKSWAGEN,58000.0
91000,berline,essence,7,automatique,noir,CLASSE C ,7,MERCEDES-BENZ,105000.0
225000,berline,essence,9,manuelle,noir,CLASSE C ,13,MERCEDES-BENZ,39500.0
137000,citadine,essence,5,manuelle,blanc,208 ,7,PEUGEOT,29500.0
358000,pick up,diesel,7,manuelle,gris argent,ACTYON S ,14,SSANGYONG,23000.0
390000,4 x 4,diesel,17,manuelle,noir,LAND CRUISER ,20,TOYOTA,49000.0
132000,berline,essence,9,automatique,blanc,CLASSE E ,7,MERCEDES-BENZ,90000.0
260000,citadine,essence,7,manuelle,marron,DS4 ,9,CITROEN,35000.0
170000,coupE,essence,7,manuelle,gris argent,SERIE 3 ,12,BMW,47000.0
65000,citadine,essence,5,automatique,rouge,PICANTO ,3,KIA,40000.0
182000,citadine,diesel,16,automatique,noir,Q7 ,12,AUDI,73000.0
37000,citadine,essence,5,manuelle,rouge,KUV 100 ,2,MAHINDRA,32000.0
39000,berline,essence,5,manuelle,rouge,YARIS ,4,TOYOTA,40000.0
79000,citadine,essence,6,automatique,noir,LEON ,7,SEAT,53000.0
135000,4 x 4,essence,15,automatique,gris argent,H9 ,4,HAVAL,92000.0
192000,berline,essence,9,automatique,blanc,CLASSE C ,13,MERCEDES-BENZ,50000.0
74000,utilitaire,essence,7,manuelle,noir,BERLINGO  ,5,CITROEN,48500.0
98000,berline,essence,8,automatique,noir,CERATO ,7,KIA,48500.0
61000,citadine,essence,6,automatique,gris argent,C-HR ,3,TOYOTA,75000.0
187000,citadine,essence,7,manuelle,blanc,CLASSE A ,9,MERCEDES-BENZ,68000.0
135000,berline,essence,7,manuelle,gris argent,CRUZE ,9,CHEVROLET,25500.0
72000,berline,essence,6,manuelle,blanc,E3 ,4,CHERY,27500.0
75000,4 x 4,essence,7,manuelle,gris anthracite,YX KENBO S3 ,5,BAIC,44500.0
116000,pick up,diesel,8,manuelle,noir,HILUX ,10,TOYOTA,105000.0
117000,berline,essence,6,manuelle,gris argent,3 ,6,MAZDA,42500.0
62000,citadine,essence,4,manuelle,gris argent,QQ ,3,CHERY,22900.0
168000,4 x 4,diesel,6,manuelle,blanc,AGE ,8,KIA,66000.0
220000,berline,essence,8,manuelle,noir,CLASSE C ,7,MERCEDES-BENZ,80000.0
53000,citadine,essence,7,manuelle,bleu,TIVOLI ,2,SSANGYONG,62000.0
145000,citadine,essence,5,manuelle,blanc,GOLF 7 ,6,VOLKSWAGEN,67000.0
193000,berline,essence,8,manuelle,rouge,SERIE 3 ,12,BMW,42900.0
49000,citadine,essence,7,automatique,marron,COOPER COUNTRY MAN ,7,MINI,69000.0
686000,4 x 4,diesel,11,manuelle,blanc,LAND CRUISER ,30,TOYOTA,42500.0
18000,berline,essence,7,automatique,noir,SERIE 4 ,2,BMW,159000.0
147000,citadine,essence,5,manuelle,bleu,GOLF 7 ,8,VOLKSWAGEN,47000.0
93000,berline,essence,7,manuelle,noir,PASSAT ,5,VOLKSWAGEN,66000.0
220000,citadine,diesel,5,manuelle,noir,A3 ,11,AUDI,35500.0
207000,4 x 4,diesel,5,manuelle,blanc,DUSTER ,8,DACIA,43000.0
86000,citadine,essence,6,automatique,blanc,GOLF 7 ,4,VOLKSWAGEN,68000.0
167000,4 x 4,essence,21,automatique,noir,CAYENNE ,14,PORSCHE,78000.0
170000,berline,essence,7,manuelle,noir,JETTA ,7,VOLKSWAGEN,42500.0
492000,4 x 4,diesel,20,manuelle,blanc,LAND CRUISER ,11,TOYOTA,145000.0
372000,berline,diesel,8,automatique,blanc,PASSAT ,16,VOLKSWAGEN,30000.0
230000,berline,diesel,15,automatique,noir,A8 ,14,AUDI,78000.0
68000,citadine,diesel,6,manuelle,gris argent,500X ,6,FIAT,67000.0
78000,citadine,essence,4,manuelle,gris shark,YPSILON ,6,LANCIA,29900.0
93000,citadine,essence,5,manuelle,blanc,DS3 ,7,CITROEN,34000.0
148000,berline,diesel,11,automatique,marron,XF ,9,JAGUAR,128000.0
162000,berline,diesel,11,automatique,gris argent,CLASSE E ,17,MERCEDES-BENZ,46000.0
178000,berline,diesel,13,automatique,gris argent,SERIE 5 ,19,BMW,46000.0
11000,citadine,essence,4,manuelle,blanc,PANDA CITY CROSS ,1,FIAT,39500.0
142000,pick up,diesel,10,manuelle,bleu,RANGER ,13,FORD,36500.0
89000,berline,essence,7,manuelle,noir,PASSAT ,4,VOLKSWAGEN,70000.0
62000,berline,essence,5,manuelle,gris anthracite,A3 ,3,AUDI,78000.0
97000,pick up,diesel,8,manuelle,noir, ,5,MAHINDRAORPIO,35000.0
34000,citadine,essence,4,manuelle,bleu,TWINGO ,6,RENAULT,32900.0
146000,berline,diesel,10,automatique,rouge,CLASSE E ,12,MERCEDES-BENZ,67000.0
121000,berline,essence,7,automatique,noir,SERIE 3 ,6,BMW,87000.0
133000,berline,diesel,7,automatique,noir,CLASSE C ,6,MERCEDES-BENZ,105000.0
376000,4 x 4,diesel,11,automatique,beige,PRADO ,13,TOYOTA,89000.0
39000,citadine,essence,8,automatique,gris anthracite,AGE ,5,KIA,87000.0
98000,4 x 4,diesel,10,automatique,blanc,AGE ,4,KIA,119000.0
221000,4 x 4,diesel,15,automatique,noir,X5 ,13,BMW,85000.0
154000,citadine,essence,4,manuelle,noir,107 ,12,PEUGEOT,22900.0
233000,citadine,essence,4,manuelle,gris anthracite,CLIO CAMPUS ,13,RENAULT,22000.0
63000,berline,essence,8,automatique,blanc,A4 ,3,AUDI,98000.0
118000,utilitaire,essence,6,manuelle,blanc,BERLINGO  ,9,CITROEN,29500.0
71000,citadine,essence,7,manuelle,noir,MEGANE ,11,RENAULT,35900.0
300000,4 x 4,diesel,11,automatique,noir,PRADO ,13,TOYOTA,115000.0
157000,berline,essence,7,automatique,gris argent,A4 ,10,AUDI,46000.0
89000,citadine,essence,5,automatique,noir,GOLF 7 ,5,VOLKSWAGEN,62000.0
129000,pick up,diesel,9,manuelle,bleu,BT-50 ,4,MAZDA,69900.0
93000,4 x 4,essence,6,automatique,noir,QASHQAI ,4,NISSAN,83500.0
106000,pick up,diesel,7,manuelle,blanc,XENON ,4,TATA,27900.0
249000,pick up,diesel,7,manuelle,noir,RANGER ,8,FORD,58000.0
58000,citadine,essence,5,manuelle,bleu,DS3 ,5,CITROEN,41500.0
177000,pick up,diesel,8,manuelle,blanc, ,6,MAHINDRAORPIO,26000.0
142000,berline,essence,9,automatique,rouge,6 ,5,MAZDA,65000.0
156000,compacte,essence,6,automatique,noir,A3 ,7,AUDI,72500.0
115000,utilitaire,diesel,5,manuelle,blanc,FIORINO ,3,FIAT,27500.0
101000,citadine,essence,5,manuelle,blanc,GOLF 7 ,6,VOLKSWAGEN,67500.0
173000,citadine,essence,30,automatique,noir,CAYENNE ,14,PORSCHE,85000.0
160000,4 x 4,diesel,15,automatique,noir,ML ,15,MERCEDES-BENZ,75000.0
158000,citadine,diesel,6,automatique,noir,DS5 ,9,CITROEN,53000.0
168000,utilitaire,diesel,7,manuelle,blanc,SPRINTER ,14,MERCEDES-BENZ,35000.0
96000,citadine,diesel,5,manuelle,noir,GOLF 7 ,9,VOLKSWAGEN,50000.0
333000,4 x 4,diesel,12,automatique,blanc,SORENTO ,11,KIA,49500.0
255000,berline,essence,11,automatique,noir,CLASSE E ,11,MERCEDES-BENZ,68000.0
112000,berline,diesel,7,automatique,noir,CLASSE C ,6,MERCEDES-BENZ,115000.0
92000,berline,essence,7,manuelle,gris argent,A4 ,6,AUDI,62500.0
252000,berline,essence,9,manuelle,gris argent,407 ,15,PEUGEOT,22000.0
157000,utilitaire,diesel,8,manuelle,blanc,DAILY ,5,IVECO,69000.0
174000,citadine,essence,5,manuelle,noir,GOLF 7 ,7,VOLKSWAGEN,51000.0
207000,berline,essence,7,manuelle,blanc,A4 ,9,AUDI,49500.0
176000,coupE,essence,12,automatique,noir,CLASSE E ,11,MERCEDES-BENZ,70000.0
207000,pick up,diesel,7,manuelle,noir,AMAROK ,6,VOLKSWAGEN,78000.0
152000,berline,diesel,5,manuelle,noir,PASSAT ,7,VOLKSWAGEN,59500.0
87000,utilitaire,diesel,6,manuelle,beige,BIPPER ,3,PEUGEOT,33000.0
113000,utilitaire,diesel,6,manuelle,blanc,NEMO ,6,CITROEN,25500.0
193000,citadine,diesel,6,manuelle,noir,JUKE ,10,NISSAN,40000.0
243000,berline,essence,11,automatique,noir,CLASSE E ,9,MERCEDES-BENZ,73000.0
150000,citadine,essence,5,manuelle,noir,A3 ,7,AUDI,58000.0
270000,4 x 4,diesel,11,manuelle,noir,PRADO ,17,TOYOTA,78000.0
48000,citadine,diesel,5,manuelle,noir,ALTEA ,3,SEAT,55500.0
88000,citadine,essence,6,manuelle,noir,GOLF 7 ,4,VOLKSWAGEN,60000.0
59000,berline,essence,9,manuelle,gris argent,FUSION ,4,FORD,69000.0
64000,4 x 4,essence,7,manuelle,gris anthracite,XLV ,4,SSANGYONG,59500.0
192000,citadine,diesel,5,manuelle,marron,GOLF 7 ,8,VOLKSWAGEN,47500.0
392000,4 x 4,diesel,15,automatique,noir,CLASSE GL ,14,MERCEDES-BENZ,75000.0
138000,citadine,essence,7,automatique,noir,SERIE 1 ,9,BMW,73000.0
143000,berline,essence,10,automatique,noir,SERIE 5 ,8,BMW,115000.0
110000,citadine,essence,5,manuelle,blanc,DS3 ,5,CITROEN,38000.0
119000,berline,essence,5,manuelle,noir,SONIC ,6,CHEVROLET,27900.0
97000,pick up,diesel,9,manuelle,gris argent,BT-50 ,5,MAZDA,80000.0
54000,citadine,essence,5,manuelle,bleu,KADJAR ,3,RENAULT,78000.0
7000,berline,essence,6,manuelle,gris argent,TIPO  ,1,FIAT,48900.0
207000,berline,essence,7,manuelle,blanc,SERIE 3 ,8,BMW,63900.0
197000,4 x 4,diesel,10,automatique,gris anthracite,AGE ,4,KIA,110000.0
255000,citadine,diesel,6,manuelle,marron,3008 ,11,PEUGEOT,36500.0
44000,citadine,diesel,10,automatique,blanc,AGE ,3,KIA,140000.0
234000,berline,essence,11,automatique,noir,A6 ,11,AUDI,46000.0
92000,pick up,diesel,9,manuelle,noir,BT-50 ,3,MAZDA,82000.0
19000,autres,diesel,10,manuelle,rouge,S50 ,4,DONGFENG,57000.0
193000,berline,essence,7,manuelle,blanc,A4 ,9,AUDI,57000.0
17000,berline,essence,6,manuelle,blanc,3 ,2,MAZDA,77000.0
7000,utilitaire,diesel,5,manuelle,blanc,RIFTER ,1,PEUGEOT,79500.0
169000,berline,essence,7,automatique,noir,SERIE 3 ,8,BMW,69000.0
210000,berline,diesel,7,manuelle,noir,CLASSE E ,8,MERCEDES-BENZ,89000.0
119000,utilitaire,diesel,5,manuelle,noir,NEMO ,5,CITROEN,26500.0
99000,citadine,essence,5,manuelle,noir,GOLF 7 ,6,VOLKSWAGEN,57000.0
97000,4 x 4,diesel,9,automatique,noir,DISCOVERY  ,5,LANDROVER,180000.0
15000,citadine,essence,4,manuelle,rouge,C3 ,4,CITROEN,48000.0
79000,4 x 4,diesel,9,manuelle,noir,WALL H5 ,4,GREAT,64000.0
198000,berline,essence,9,automatique,noir,SERIE 5 ,12,BMW,48500.0
