MERCEDES-BENZ CLASSE E,162000 km,04-2010,13.06.2021,Coupé,Essence,12 CV,Automatique,Traction,Noir,78 000 DT
AUDI Q5,186000 km,08-2010,13.06.2021,Citadine,Diesel,10 CV,Manuelle,Traction,Blanc,85 000 DT
MERCEDES-BENZ CLASSE E,269000 km,06-2014,13.06.2021,Berline,Essence,9 CV,Automatique,Traction,Noir,72 500 DT
KIA CERATO,102000 km,06-2013,13.06.2021,Berline,Essence,7 CV,Automatique,Traction,Gris argent,34 900 DT
TOYOTA YARIS,98000 km,12-2017,13.06.2021,Berline,Essence,5 CV,Manuelle,Traction,Gris argent,37 000 DT
VOLKSWAGEN TOURAN,178000 km,04-2013,13.06.2021,Citadine,Diesel,6 CV,Manuelle,Traction,Noir,54 000 DT
KIA AGE,133000 km,11-2016,13.06.2021,4 x 4,Essence,8 CV,Automatique,Traction,Beige,76 900 DT
FORD FOCUS,63000 km,04-2016,13.06.2021,Berline,Essence,6 CV,Manuelle,Traction,Noir,46 500 DT
RENAULT KADJAR,72000 km,10-2016,13.06.2021,4 x 4,Essence,7 CV,Manuelle,Traction,Blanc,65 000 DT
BMW SÉRIE 1,205000 km,10-2007,13.06.2021,Citadine,Essence,7 CV,Manuelle,Traction,Marron,33 000 DT
BMW SÉRIE 3,174000 km,09-2010,13.06.2021,Coupé,Essence,7 CV,Manuelle,Traction,Beige,54 500 DT
CITROËN C4,119000 km,11-2011,13.06.2021,Citadine,Essence,6 CV,Manuelle,Traction,Marron,33 500 DT
HYUNDAI I20,66000 km,10-2016,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Blanc,42 900 DT
VOLKSWAGEN PASSAT,198000 km,10-2011,13.06.2021,Berline,Essence,7 CV,Manuelle,Traction,Beige,39 900 DT
MERCEDES-BENZ ML,171000 km,12-2006,13.06.2021,4 x 4,Diesel,15 CV,Automatique,Traction,Noir,54 000 DT
CITROËN C4,138000 km,07-2012,13.06.2021,Citadine,Essence,6 CV,Manuelle,Traction,Blanc,32 500 DT
KIA RIO,142000 km,07-2012,13.06.2021,Citadine,Diesel,5 CV,Manuelle,Traction,Blanc,33 500 DT
VOLKSWAGEN PASSAT,10000 km,09-2020,13.06.2021,Berline,Essence,8 CV,Manuelle,Traction,Noir,95 000 DT
SEAT LEON,83000 km,02-2017,13.06.2021,Citadine,Essence,6 CV,Manuelle,Traction,Beige,59 500 DT
HAVAL H6,16000 km,11-2020,13.06.2021,4 x 4,Essence,9 CV,Automatique,Traction,Rouge,100 000 DT
FORD FIESTA,106000 km,04-2015,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Rouge,34 000 DT
HAVAL H6,90000 km,03-2017,13.06.2021,4 x 4,Essence,9 CV,Automatique,Traction,Gris argent,69 500 DT
PEUGEOT 301,83000 km,04-2018,13.06.2021,Berline,Essence,5 CV,Manuelle,Traction,Gris argent,28 000 DT
CITROËN DS3,128000 km,07-2012,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Noir,30 000 DT
SUZUKI SWIFT,10000 km,11-2018,13.06.2021,Citadine,Essence,5 CV,Automatique,Traction,Bleu,42 500 DT
TOYOTA HILUX,93000 km,11-2016,13.06.2021,Pick up,Essence,15 CV,Automatique,Traction,Noir,120 000 DT
SSANGYONG ACTYON S,119000 km,06-2013,13.06.2021,Pick up,Diesel,7 CV,Automatique,Traction,Marron,42 000 DT
CITROËN DS5,230000 km,11-2014,13.06.2021,Citadine,Essence,9 CV,Automatique,Traction,Marron,41 500 DT
KIA RIO,12000 km,12-2020,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Blanc,50 000 DT
MITSUBISHI PAJERO,183000 km,08-2006,13.06.2021,4 x 4,Diesel,11 CV,Automatique,Traction,Noir,46 000 DT
BMW SÉRIE 3,166000 km,04-2009,13.06.2021,Berline,Essence,7 CV,Manuelle,Traction,Gris argent,40 000 DT
MINI COOPER,111000 km,06-2009,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Blanc,27 900 DT
SEAT ARONA,8000 km,01-2021,13.06.2021,Citadine,Essence,6 CV,Manuelle,Traction,Bleu,65 000 DT
VOLKSWAGEN GOLF 7,145000 km,09-2013,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Gris argent,46 000 DT
KIA OPTIMA,156000 km,06-2014,13.06.2021,Berline,Essence,10 CV,Automatique,Traction,Noir,44 000 DT
FORD FIESTA,151000 km,03-2012,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Bleu,26 500 DT
